UZUM1222	г. Фергана, ул. Аль-Фергани, 122А	Тантана мехмонхона Фаргона.Ш. Аль-Фаргони 122А
UZUM1177	Фергана, махаллинский сход граждан Мададкор, ул. Юксалиш, 28	Пункт выдачи Uzum Market
UZUM1212	Ургенч, улица Узбекистан, дом 27, квартира 1-Б	Пункт выдачи Uzum Market
UZUM1213	Ургенч, ул. Марифатчилар, дом 172	Пункт выдачи Uzum Market
UZUM1214	Ургенч, улица Гурлан, дом 111 А	Пункт выдачи Uzum Market
UZUM1215	Ургенч, Жайхун улица, дом 34/1	Пункт выдачи Uzum Market
UZUM1216	Ургенч, улица Хонка, дом 29	Пункт выдачи Uzum Market
UZUM1217	Ургенч, проспект Аль-Хорезми, дом 66/1	Пункт выдачи Uzum Market
UZUM1218	Ургенч, улица Абульгази Бахадырхана, дом 214	Пункт выдачи Uzum Market
UZUM1219	Хива, улица Нажмиддин Кубро	Пункт выдачи Uzum Market
UZUM1220	Хива, улица Амира Темура, дом 50	Пункт выдачи Uzum Market
UZUM1227	Хива, Хорезмская область,улица Феруз, 12	ISHONCH(Xiva)
UZUM1252	г. Ташкент, Мирабадский район, ул. Мирабад, 43, метро «Айбек»	Мирабадский рынок
UZUM1253	г. Ташкент, Мирабадский район, ул. Мирабад, 43, метро «Айбек»	Мирабадский рынок
UZUM1207	Ташкент, Учтепинский район, ул. Фархадская, Г30 блок 15	ТЦ Scopus Mall
UZUM1201	Ташкент, Чиланзарский район 20 квартал, д.23	Пункт выдачи Uzum Market
UZUM1204	Ташкент, Учтепинский район, 14 квартал , д.11	Пункт выдачи Uzum Market
UZUM1205	г. Ташкент.. Яккасарайский район, улица Шота Руставели, дом 85	Единое окно
UZUM1206	Ташкент, Учтепинский район, улица Фазылтепа, д. 17А	Пункт выдачи Uzum Market
UZUM1331	Ургенч, улица Ханка, 154	Karavan Hotel
UZUM1332	Ургенч, улица Гурлан, 360	NAFFA BOUTIQUE
UZUM1335	г. Самарканд, МСГ «Хофиза Шерози», массив Саттепо, 84	Korzinka K213 Саттепо 84I
UZUM1338	Самаркандская обл., Самаркандский район, город Гулобод	Единое Окно
UZUM1350	Ташкент, Сергелийский р-н, населённый пункт Казахаул	UZUM MARKET
UZUM1351	Ташкент, Сергелийский р-н, населённый пункт Казахаул	UZUM MARKET
UZUM1232	Ташкент, Шайхантахурский р-н, махаллинский сход граждан Кукча, Малая кольцевая дорога, 3Б	OXY Med (Тахтапуль)
UZUM1238	г. Ташкент, Алмазарский р-н, Мискин МСГ, ул. Янги Олмазор, д. 3а	Olma
UZUM1247	Ташкентская обл., Зангиатинский район, село Зангиота, МФЙ Урта, ул. Амира Темура	ISHONCH(Zangiota)
UZUM1254	Ташкентская область, Зангиатинский район, улица Кичкина Каъни, 34, махаллинский сход граждан Асл.	OXY Med (Ташкентская обл.) 123
UZUM1260	г. Ташкент, Сергилийский район,улица Азима Умарова, 21	VIVA MED
UZUM1264	г.Ташкент, Мирабадский р-н, ул. Мехржон, 45	OXY Med (Саракулька)
UZUM1266	Ташкент, Мирабадский район, улица Тараса Шевченко, 21А	Бизнесс-Центр Gross
UZUM1268	г. Ташкент, Чиланзарский район, 7 квартал, махалля «Октепа», 28	Korzinka Октепа Чилинзор
UZUM1271	Ташкент, Учтепинский район, ул. Замахшари, 2	Pharmacosmos C-13 УЧТЕПА
UZUM1273	Ташкент, 6-й пр. Карвонсарой, 2	Pharmacosmos C-37 ОЛИМ ПОЛВОН
UZUM1275	Ташкент, Учтепинский район, ул. Кукча Дарвоза, 568	Pharmacosmos C-41 Эхинацея
UZUM1276	Ташкент, Алмазарский район, ул. Бешкайрагач, 286	Pharmacosmos C-47 ОНА БОЛА
UZUM1277	Ташкент, Юнусабадский район, 6-й пр. Кулолкургон, 28	Pharmacosmos C-51 УЧКАХРАМОН
UZUM1279	Ташкент, Учтепинский район, махаллинский сход граждан Кукча-Актепа, ул. Заковат, 47	Pharmacosmos C-53 ЛИТЕРАТУРНЫЙ
UZUM1280	Ташкент, Учтепинский район, ул. Фазылтепа, 10А	Pharmacosmos C-54 ХОКИМИЯТ
UZUM1281	Ташкент, проспект Бунёдкор (дублёр)	Pharmacosmos C-69 ИППОДРОМ
UZUM1282	Ташкент, Мирабадский район, ул. Абдурауфа Фитрата, 2/1	Pharmacosmos C-71 РИСОВЫЙ
UZUM1283	Ташкент, Мирабадский район, улица Шукура Бурханова	Pharmacosmos C-72 ЯНГИ КОРАСУВ
UZUM1285	Ташкент, Шайхантахурский район, махаллинский сход граждан Сархумдон, ул. Уйгур, 6	Pharmacosmos C-74 Birinchi-Gor bolnitsa
UZUM1286	г. Ташкент, Сергелийский район, массив Сергели-V, 6А	AYLIN
UZUM1287	Ташкент, Алмазарский район, массив Каракамыш, квартал 2/5, 17	Pharmacosmos С-93 Кора-Камиш Кушбозор
UZUM1288	Ташкент, Шайхонтохурский район, ул. Фараби, 17	Pharmacosmos С-95 Тошми-2
UZUM1289	Ташкент, Мирзо-Улугбекский район, массив Буз-2, 25	Pharmacosmos C-103 Tarakanchik
UZUM1290	Ташкент, Мирзо-Улугбекский район, улица Миллий Бог	Pharmacosmos C-104 Uchxo'z
UZUM1291	Ташкент, Юнусабадский район,  ул. Чингиза Айтматова, 1	Pharmacosmos C-108 Bodomzor
UZUM1292	Ташкент, Алмазарский  район, ул. 1-й проезд Умид, 62Б	Pharmacosmos C-105 Chimboy chorraxa
UZUM1293	Ташкент, Шайхантахурский район, 3-й пр. Бешкайрагач, 35А	Pharmacosmos C-110 Beshqayrag'och
UZUM1294	Ташкент, Мирзо-Улугбекский район, массив Ахмада Югнаки, 12А	Pharmacosmos C-114 Ahmad Yugnakiy
UZUM1298	г. Ташкент, Юнусабадский район, проспект Амира Темура, 112-й дом	Korzinka Шахристан
UZUM1300	Ташкентская область, Зангиатинский район, махаллинский сход граждан Киргузар, улица Назарбек, 19A	Pharmacosmos C-31 ПОЧТА
UZUM1325	Самаркандская обл., Булунгурский район, Мехржон МФЮ, улица Октепа, 101	Единое окно
UZUM1326	Самаркандская обл.,г. Самарканд, ул. Ифтихор, 2Б	Saltanat
UZUM1328	Самаркандская обл., Иштиханский район, улица Навруз, 2	Единое Окно
UZUM1336	Самаркандская область, Пастдаргамский район, город Джума, улица Нодирабегим, 66	Единое Окно
